CountryName,CountryCode,RegionName,RegionCode,CityName,CityCode,Jurisdiction,Date,C1_School closing,C1_Flag,C1_Notes,C2_Workplace closing,C2_Flag,C2_Notes,C3_Cancel public events,C3_Flag,C3_Notes,C4_Restrictions on gatherings,C4_Flag,C4_Notes,C5_Close public transport,C5_Flag,C5_Notes,C6_Stay at home requirements,C6_Flag,C6_Notes,C7_Restrictions on internal movement,C7_Flag,C7_Notes,C8_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,M1_Wildcard,M1_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
United States,USA,Rhode Island,US_RI,,,STATE_ALL,20200101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,,,0,,,0,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
United States,USA,Rhode Island,US_RI,,,STATE_ALL,20200102,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,,,0,,,0,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
United States,USA,Rhode Island,US_RI,,,STATE_ALL,20200103,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,,,0,,,0,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
United States,USA,Rhode Island,US_RI,,,STATE_ALL,20200104,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,,,0,,,0,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
United States,USA,Rhode Island,US_RI,,,STATE_ALL,20200105,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,,,0,,,0,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
United States,USA,Rhode Island,US_RI,,,STATE_ALL,20200106,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,,,0,,,0,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
United States,USA,Rhode Island,US_RI,,,STATE_ALL,20200107,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,,,0,,,0,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
United States,USA,Rhode Island,US_RI,,,STATE_ALL,20200108,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,,,0,,,0,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
United States,USA,Rhode Island,US_RI,,,STATE_ALL,20200109,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,,,0,,,0,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
United States,USA,Rhode Island,US_RI,,,STATE_ALL,20200110,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,,,0,,,0,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
